episode,episode_seed,taskset_seed,scenario_seed,network_seed,exploration_seed,replay_seed,total_util,num_tasks,taskset_fingerprint,steps,step_count,selected_action_count,total_reward,epsilon,loss_mean,loss_last,accepted_actions,rejected_actions,noop_actions,explicit_noop_actions,noop_action_rate,explicit_noop_action_rate,accepted_action_rate,rejected_action_rate,safety_checked_actions,selected_invalid_mask_actions,action_space_type,action_count,budget_increase_ratio,budget_decrease_ratio,budget_floor_ratio,valid_action_count_mean,masked_action_count_mean,masked_decrease_hi_forbidden_count,masked_decrease_hi_forbidden_rate,masked_budget_floor_violation_count,masked_budget_floor_violation_rate,no_safe_action_steps,selected_explicit_noop_actions,selected_explicit_noop_rate,mode_changes,lo_cancellations,deadline_misses,job_starts,lo_overruns,hi_overruns,reward_job_start_sum,reward_lo_overrun_sum,reward_hi_overrun_sum,reward_mode_change_sum,reward_lo_cancellation_sum,reward_deadline_miss_sum,reward_paper_sum,reward_noop_bonus_sum,reward_budget_change_penalty_sum,reward_budget_change_norm_sum,reward_budget_drift_penalty_sum,reward_budget_drift_mean_sum,noop_exploration_prob,exploration_action_count,exploration_noop_action_count,exploration_noop_action_rate,observation_mode,state_dim,feature_safety_margin_min_mean,feature_safety_margin_min_p05
10,10,825,100010,0,0,0,0.65,12,cd2bb6633393,20,20,20,-11.202851762042874,0.9582,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,21.615384615384617,3.3846153846153846,0,0.0,29,0.029743589743589743,0,0,0.0,677,119,0,14851,119,677,0.0,-0.3194291420201201,-3.2151284498268886,-7.3488650281757435,-0.3194291420201201,0.0,0.0,0.0,0.0,0.9254594737149842,0.0,0.18597157607326997,0.0,20,0,0.0,v11_no_max_9d,116,0.009132756078141324,0.0
11,11,825,100011,0,0,0,0.65,12,cd2bb6633393,20,20,20,-7.750673154433164,0.9544,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.23076923076923,6.769230769230769,0,0.0,81,0.08307692307692308,0,0,0.0,412,265,0,15053,265,412,0.0,-0.7031631645566038,-1.9308881642278126,-4.413458661092144,-0.7031631645566038,0.0,0.0,0.0,0.0,0.695383209635435,0.0,0.21193419341934197,0.0,20,0,0.0,v11_no_max_9d,116,0.002056555269922879,0.0
12,12,825,100012,0,0,0,0.65,12,cd2bb6633393,20,20,20,-4.943137564654545,0.9506,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,21.0,4.0,0,0.0,15,0.015384615384615385,0,0,0.0,271,154,0,15115,154,271,0.0,-0.4070177242900715,-1.2566832527182965,-2.872418863356107,-0.4070177242900715,0.0,0.0,0.0,0.0,1.7367736838856294,0.0,0.14383574200793572,0.0,18,0,0.0,v11_no_max_9d,116,0.0,0.0
13,13,825,100013,0,0,0,0.65,12,cd2bb6633393,20,20,20,-8.406548515365486,0.9468,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.05128205128205,5.948717948717949,0,0.0,23,0.02358974358974359,0,0,0.0,497,132,0,14981,132,497,0.0,-0.3506918683241106,-2.3450501500443846,-5.3601146286728785,-0.3506918683241106,0.0,0.0,0.0,0.0,1.232312962929396,0.0,0.12451935081148563,0.0,20,0,0.0,v11_no_max_9d,116,0.0027686410866234975,0.0
14,14,825,100014,0,0,0,0.65,12,cd2bb6633393,20,20,20,-7.831384575652435,0.9430000000000001,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.794871794871796,4.205128205128205,0,0.0,25,0.02564102564102564,0,0,0.0,457,142,0,14976,142,457,0.0,-0.37791772282054265,-2.1534279960904104,-4.922121133920938,-0.37791772282054265,0.0,0.0,0.0,0.0,1.8994509943624023,0.0,0.18662337662337664,0.0,18,0,0.0,v11_no_max_9d,116,0.001595102176807963,0.0
15,15,825,100015,0,0,0,0.65,12,cd2bb6633393,20,20,20,-5.519342291452323,0.9392,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,21.307692307692307,3.6923076923076925,0,0.0,1,0.0010256410256410256,0,0,0.0,302,171,0,15083,171,302,0.0,-0.45326722567867017,-1.4038980382897774,-3.2089098018052056,-0.45326722567867017,0.0,0.0,0.0,0.0,1.1022845144979294,0.0,0.20090257340340792,0.0,20,0,0.0,v11_no_max_9d,116,0.0,0.0
16,16,825,100016,0,0,0,0.65,12,cd2bb6633393,20,20,20,-7.249984546494942,0.9354,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.153846153846153,5.846153846153846,0,0.0,43,0.0441025641025641,0,0,0.0,422,138,0,14999,138,422,0.0,-0.36663339590377186,-1.983348881861382,-4.533368872826016,-0.36663339590377186,0.0,0.0,0.0,0.0,0.8585808069742888,0.0,0.15964976924931398,0.0,20,0,0.0,v11_no_max_9d,116,0.0011568123393316196,0.0
17,17,825,100017,0,0,0,0.65,12,cd2bb6633393,20,20,20,-14.00616830969605,0.9316,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.743589743589745,4.256410256410256,0,0.0,73,0.07487179487179488,0,0,0.0,857,107,0,14724,107,857,0.0,-0.28928644071009046,-4.086659478170917,-9.340935950104951,-0.28928644071009046,0.0,0.0,0.0,0.0,0.6161775683843888,0.0,0.25805430672154994,0.0,20,0,0.0,v11_no_max_9d,116,0.006062751374866618,0.0
18,18,825,100018,0,0,0,0.65,12,cd2bb6633393,20,20,20,-8.587104485106133,0.9278,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.897435897435898,4.102564102564102,0,0.0,29,0.029743589743589743,0,0,0.0,508,130,0,14940,130,508,0.0,-0.3471728634482292,-2.402143969889901,-5.490614788319773,-0.3471728634482292,0.0,0.0,0.0,0.0,1.2134452511517773,0.0,0.1562218304863077,0.0,18,0,0.0,v11_no_max_9d,116,0.005891980360065467,0.0
19,19,825,100019,0,0,0,0.65,12,cd2bb6633393,20,20,20,-4.9667462456860845,0.924,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.102564102564102,5.897435897435898,0,0.0,23,0.02358974358974359,0,0,0.0,256,204,0,15152,204,256,0.0,-0.5385812462355704,-1.1837863596741132,-2.70579739354083,-0.5385812462355704,0.0,0.0,0.0,0.0,1.4697836474826842,0.0,0.2232631545277999,0.0,19,0,0.0,v11_no_max_9d,116,0.0,0.0
