seed,parent_lo_quality_qos,teacher_lo_quality_qos,qos_retention,parent_lo_zero_service_ratio,teacher_lo_zero_service_ratio,zero_service_retention,parent_lo_equiv_jne,teacher_lo_equiv_jne,tree_lo_quality_qos,tree_lo_zero_service_ratio,tree_lo_equiv_jne,equiv_jne_retention,tree_depth,tree_node_count,tree_leaf_count,tree_raw_top1_invalid_rate,tree_fallback_rate,tree_deadline_misses,tree_hi_deadline_misses,tree_lo_deadline_misses,teacher_no_positive_qos_gain,teacher_no_positive_zero_service_gain,teacher_no_positive_equiv_jne_gain
1550,0.834375,0.8667361111111112,1.0085836909871224,0.11208333333333333,0.07972222222222222,1.0085836909871244,1192.5,959.5,0.8670138888888889,0.07944444444444444,957.5,1.0085836909871244,3,11,6,0.0,0.0,0,0,0,False,False,False
1551,0.8457638888888889,0.8790972222222222,1.012500000000002,0.10375,0.07041666666666667,1.0125,1110.5,870.5,0.8795138888888889,0.07,867.5,1.0125,3,11,6,0.0,0.0,0,0,0,False,False,False
1552,0.8461111111111111,0.8751388888888889,1.0143540669856443,0.10069444444444445,0.07166666666666667,1.0143540669856463,1108.0,899.0,0.8755555555555555,0.07125,896.0,1.014354066985646,3,11,6,0.0,0.0,0,0,0,False,False,False
1553,0.8339583333333334,0.8629861111111111,1.0430622009569368,0.10625,0.07722222222222222,1.043062200956938,1195.5,986.5,0.8642361111111111,0.07597222222222222,977.5,1.0430622009569377,3,11,6,0.0,0.0,0,0,0,False,False,False
1554,0.8417361111111111,0.8728472222222222,1.0044642857142865,0.10458333333333333,0.07347222222222222,1.0044642857142856,1139.5,915.5,0.8729861111111111,0.07333333333333333,914.5,1.0044642857142858,3,11,6,0.0,0.0,0,0,0,False,False,False
1555,0.8516666666666667,0.8770833333333333,1.0054644808743178,0.0973611111111111,0.07194444444444445,1.0054644808743172,1068.0,885.0,0.8772222222222222,0.07180555555555555,884.0,1.005464480874317,3,11,6,0.0,0.0,0,0,0,False,False,False
1556,0.8434722222222222,0.8709027777777778,1.0354430379746808,0.10222222222222223,0.07472222222222222,1.0353535353535352,1127.0,929.5,0.871875,0.07375,922.5,1.0354430379746835,3,11,6,0.0,0.0,0,0,0,False,False,False
1557,0.8324305555555556,0.8617361111111111,1.0142180094786715,0.1123611111111111,0.08305555555555555,1.0142180094786728,1206.5,995.5,0.8621527777777778,0.08263888888888889,992.5,1.014218009478673,3,11,6,0.0,0.0,0,0,0,False,False,False
1558,0.8363888888888888,0.8657638888888889,1.0614657210401872,0.1075,0.07805555555555556,1.0613207547169814,1178.0,966.5,0.8675694444444444,0.07625,953.5,1.0614657210401892,3,11,6,0.0,0.0,0,0,0,False,False,False
1559,0.8439583333333334,0.8725694444444444,1.0242718446601942,0.10152777777777777,0.07291666666666667,1.0242718446601946,1123.5,917.5,0.8732638888888888,0.07222222222222222,912.5,1.0242718446601942,3,11,6,0.0,0.0,0,0,0,False,False,False
1560,0.834375,0.8672916666666667,1.016877637130801,0.11,0.07708333333333334,1.0168776371308017,1192.5,955.5,0.8678472222222222,0.07652777777777778,951.5,1.0168776371308017,3,11,6,0.0,0.0,0,0,0,False,False,False
