seed,parent_lo_quality_qos,teacher_lo_quality_qos,qos_retention,parent_lo_zero_service_ratio,teacher_lo_zero_service_ratio,zero_service_retention,parent_lo_equiv_jne,teacher_lo_equiv_jne,tree_lo_quality_qos,tree_lo_zero_service_ratio,tree_lo_equiv_jne,equiv_jne_retention,tree_depth,tree_node_count,tree_leaf_count,tree_raw_top1_invalid_rate,tree_fallback_rate,tree_deadline_misses,tree_hi_deadline_misses,tree_lo_deadline_misses,teacher_no_positive_qos_gain,teacher_no_positive_zero_service_gain,teacher_no_positive_equiv_jne_gain
1550,0.8364444444444444,0.8700277777777777,1.0330851943755188,0.11077777777777778,0.07716666666666666,1.0330578512396693,2944.0,2339.5,0.8711388888888889,0.07605555555555556,2319.5,1.033085194375517,4,19,10,0.155,0.155,0,0,0,False,False,False
1551,0.8407777777777777,0.8737222222222222,1.018549747048904,0.10694444444444444,0.074,1.0185497470489036,2866.0,2273.0,0.8743333333333333,0.07338888888888889,2262.0,1.0185497470489038,4,19,10,0.158,0.158,0,0,0,False,False,False
1552,0.8388888888888889,0.8711944444444445,1.0309544282029235,0.10705555555555556,0.07472222222222222,1.0309278350515465,2900.0,2318.5,0.8721944444444445,0.07372222222222222,2300.5,1.0309544282029235,4,19,10,0.128,0.128,0,0,0,False,False,False
1553,0.8376944444444444,0.8685833333333334,1.0323741007194245,0.10866666666666666,0.07777777777777778,1.0323741007194245,2921.5,2365.5,0.8695833333333334,0.07677777777777778,2347.5,1.0323741007194245,4,19,10,0.147,0.147,0,0,0,False,False,False
1554,0.84075,0.8735833333333334,1.021996615905244,0.10461111111111111,0.07177777777777777,1.0219966159052454,2866.5,2275.5,0.8743055555555556,0.07105555555555555,2262.5,1.0219966159052454,4,19,10,0.1615,0.1615,0,0,0,False,False,False
1555,0.8470833333333333,0.8764444444444445,1.0189214758751175,0.10177777777777777,0.07238888888888889,1.0189035916824198,2752.5,2224.0,0.877,0.07183333333333333,2214.0,1.0189214758751182,4,19,10,0.1415,0.1415,0,0,0,False,False,False
1556,0.8421388888888889,0.8716111111111111,1.0207351555136666,0.10516666666666667,0.07561111111111112,1.0206766917293235,2841.5,2311.0,0.8722222222222222,0.075,2300.0,1.0207351555136663,4,19,10,0.1335,0.1335,0,0,0,False,False,False
1557,0.8380555555555556,0.8673888888888889,1.0265151515151512,0.10833333333333334,0.079,1.0265151515151516,2915.0,2387.0,0.8681666666666666,0.07822222222222222,2373.0,1.0265151515151516,4,19,10,0.1255,0.1255,0,0,0,False,False,False
1558,0.8389444444444445,0.8703611111111111,1.0335985853227208,0.10533333333333333,0.07388888888888889,1.0335689045936398,2899.0,2333.5,0.8714166666666666,0.07283333333333333,2314.5,1.0335985853227232,4,19,10,0.1245,0.1245,0,0,0,False,False,False
1559,0.8427777777777777,0.8737222222222222,1.0143626570915627,0.10483333333333333,0.07388888888888889,1.0143626570915618,2830.0,2273.0,0.8741666666666666,0.07344444444444445,2265.0,1.014362657091562,4,19,10,0.142,0.142,0,0,0,False,False,False
