metric,value
tree_depth_mean,3.0
tree_depth_median,3.0
tree_node_count_mean,11.0
tree_node_count_median,11.0
tree_leaf_count_mean,6.0
tree_leaf_count_median,6.0
max_tree_depth,3.0
max_tree_node_count,11.0
max_tree_leaf_count,6.0
