seed,parent_lo_quality_qos,teacher_lo_quality_qos,qos_retention,parent_lo_zero_service_ratio,teacher_lo_zero_service_ratio,zero_service_retention,parent_lo_equiv_jne,teacher_lo_equiv_jne,tree_lo_quality_qos,tree_lo_zero_service_ratio,tree_lo_equiv_jne,equiv_jne_retention,tree_depth,tree_node_count,tree_leaf_count,tree_raw_top1_invalid_rate,tree_fallback_rate,tree_deadline_misses,tree_hi_deadline_misses,tree_lo_deadline_misses,teacher_no_positive_qos_gain,teacher_no_positive_zero_service_gain,teacher_no_positive_equiv_jne_gain
1550,0.834375,0.8667361111111112,1.0,0.11208333333333333,0.07972222222222222,1.0,1192.5,959.5,0.8667361111111112,0.07972222222222222,959.5,1.0,3,11,6,0.09625,0.09625,0,0,0,False,False,False
1551,0.8457638888888889,0.8790972222222222,1.0041666666666673,0.10375,0.07041666666666667,1.0041666666666669,1110.5,870.5,0.8792361111111111,0.07027777777777777,869.5,1.0041666666666667,3,11,6,0.075,0.075,0,0,0,False,False,False
1552,0.8461111111111111,0.8751388888888889,1.0095693779904282,0.10069444444444445,0.07166666666666667,1.0095693779904307,1108.0,899.0,0.8754166666666666,0.07138888888888889,897.0,1.0095693779904307,3,11,6,0.06,0.06,0,0,0,False,False,False
1553,0.8339583333333334,0.8629861111111111,1.0430622009569368,0.10625,0.07722222222222222,1.043062200956938,1195.5,986.5,0.8642361111111111,0.07597222222222222,977.5,1.0430622009569377,3,11,6,0.09125,0.09125,0,0,0,False,False,False
1554,0.8417361111111111,0.8728472222222222,1.0044642857142865,0.10458333333333333,0.07347222222222222,1.0044642857142856,1139.5,915.5,0.8729861111111111,0.07333333333333333,914.5,1.0044642857142858,3,11,6,0.115,0.115,0,0,0,False,False,False
1555,0.8516666666666667,0.8770833333333333,1.0054644808743178,0.0973611111111111,0.07194444444444445,1.0054644808743172,1068.0,885.0,0.8772222222222222,0.07180555555555555,884.0,1.005464480874317,3,11,6,0.0725,0.0725,0,0,0,False,False,False
1556,0.8434722222222222,0.8709027777777778,1.0354430379746808,0.10222222222222223,0.07472222222222222,1.0353535353535352,1127.0,929.5,0.871875,0.07375,922.5,1.0354430379746835,3,11,6,0.0625,0.0625,0,0,0,False,False,False
1557,0.8324305555555556,0.8617361111111111,1.0142180094786715,0.1123611111111111,0.08305555555555555,1.0142180094786728,1206.5,995.5,0.8621527777777778,0.08263888888888889,992.5,1.014218009478673,3,11,6,0.05375,0.05375,0,0,0,False,False,False
1558,0.8363888888888888,0.8657638888888889,1.0425531914893607,0.1075,0.07805555555555556,1.0424528301886793,1178.0,966.5,0.8670138888888889,0.07680555555555556,957.5,1.0425531914893618,3,11,6,0.0425,0.0425,0,0,0,False,False,False
1559,0.8439583333333334,0.8725694444444444,1.0145631067961187,0.10152777777777777,0.07291666666666667,1.014563106796117,1123.5,917.5,0.8729861111111111,0.0725,914.5,1.0145631067961165,3,11,6,0.07125,0.07125,0,0,0,False,False,False
1560,0.834375,0.8672916666666667,1.004219409282701,0.11,0.07708333333333334,1.0042194092827006,1192.5,955.5,0.8674305555555556,0.07694444444444444,954.5,1.0042194092827004,3,11,6,0.055,0.055,0,0,0,False,False,False
1561,0.8395833333333333,0.87,1.045662100456621,0.10833333333333334,0.07791666666666666,1.045662100456621,1155.0,936.0,0.8713888888888889,0.07652777777777778,926.0,1.0456621004566211,3,11,6,0.07875,0.07875,0,0,0,False,False,False
1562,0.8384722222222222,0.8681944444444445,0.9953271028037376,0.10972222222222222,0.08,0.9953271028037385,1163.0,949.0,0.8680555555555556,0.08013888888888888,950.0,0.9953271028037384,3,11,6,0.04875,0.04875,0,0,0,False,False,False
1563,0.8376388888888889,0.8688888888888889,0.9955555555555549,0.10736111111111112,0.07611111111111112,0.9955555555555557,1169.0,944.0,0.86875,0.07625,945.0,0.9955555555555555,3,11,6,0.05375,0.05375,0,0,0,False,False,False
