metric,value
qos_retention_mean,1.0186145563824938
qos_retention_median,1.0184078276391557
zero_service_retention_mean,1.0185777818303838
zero_service_retention_median,1.0183833468505001
equiv_jne_retention_mean,1.0186145563824938
equiv_jne_retention_median,1.0184078276391562
valid_seed_count,50
teacher_no_positive_gain_seed_count,0
qos_retention_missing_count,0
zero_service_retention_missing_count,0
equiv_jne_retention_missing_count,0
