metric,value
qos_retention_mean,1.022318435499229
qos_retention_median,1.0202641726146522
zero_service_retention_mean,1.0222538582800176
zero_service_retention_median,1.0202641726146529
equiv_jne_retention_mean,1.0223184354992292
equiv_jne_retention_median,1.0202641726146524
valid_seed_count,50
teacher_no_positive_gain_seed_count,0
qos_retention_missing_count,0
zero_service_retention_missing_count,0
equiv_jne_retention_missing_count,0
