episode,episode_seed,taskset_seed,scenario_seed,network_seed,exploration_seed,replay_seed,total_util,num_tasks,taskset_fingerprint,steps,step_count,selected_action_count,total_reward,epsilon,loss_mean,loss_last,accepted_actions,rejected_actions,noop_actions,explicit_noop_actions,noop_action_rate,explicit_noop_action_rate,accepted_action_rate,rejected_action_rate,safety_checked_actions,selected_invalid_mask_actions,action_space_type,action_count,budget_increase_ratio,budget_decrease_ratio,budget_floor_ratio,valid_action_count_mean,masked_action_count_mean,masked_decrease_hi_forbidden_count,masked_decrease_hi_forbidden_rate,masked_budget_floor_violation_count,masked_budget_floor_violation_rate,no_safe_action_steps,selected_explicit_noop_actions,selected_explicit_noop_rate,mode_changes,lo_cancellations,deadline_misses,job_starts,lo_overruns,hi_overruns,reward_job_start_sum,reward_lo_overrun_sum,reward_hi_overrun_sum,reward_mode_change_sum,reward_lo_cancellation_sum,reward_deadline_miss_sum,reward_paper_sum,reward_noop_bonus_sum,reward_budget_change_penalty_sum,reward_budget_change_norm_sum,reward_budget_drift_penalty_sum,reward_budget_drift_mean_sum,noop_exploration_prob,exploration_action_count,exploration_noop_action_count,exploration_noop_action_rate,observation_mode,state_dim,feature_safety_margin_min_mean,feature_safety_margin_min_p05
10,10,409,100010,0,0,0,0.65,12,3951c3bae678,20,20,20,-14.426519645017512,0.9303333333333333,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.487179487179485,6.512820512820513,0,0.0,40,0.041025641025641026,0,0,0.0,254,141,0,4862,141,254,0.0,-1.1588797691903259,-3.685274815063393,-8.423485291573469,-1.1588797691903259,0.0,0.0,0.0,0.0,0.7344261587919012,0.0,0.24090436462137083,0.0,19,0,0.0,v11_full_10d,128,0.002874219000041746,0.00061250805931657
11,11,409,100011,0,0,0,0.65,12,3951c3bae678,20,20,20,-12.347316941811068,0.924,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.153846153846153,5.846153846153846,0,0.0,0,0.0,0,0,0.0,194,210,0,4988,210,194,0.0,-1.677924430833922,-2.7365337635218494,-6.2549343166213704,-1.677924430833922,0.0,0.0,0.0,0.0,0.5737567174861342,0.0,0.12172484726110226,0.0,20,0,0.0,v11_full_10d,128,0.00016722408026755852,0.0
12,12,409,100012,0,0,0,0.65,12,3951c3bae678,20,20,20,-12.716760057771161,0.9176666666666666,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.564102564102566,5.435897435897436,0,0.0,12,0.012307692307692308,0,0,0.0,219,147,0,4934,147,219,0.0,-1.1875422903864554,-3.147466449521206,-7.194209027477042,-1.1875422903864554,0.0,0.0,0.0,0.0,0.7883471676205442,0.0,0.18891280336832084,0.0,18,0,0.0,v11_full_10d,128,0.0013302707930367506,0.0
13,13,409,100013,0,0,0,0.65,12,3951c3bae678,20,20,20,-11.809750060920841,0.9113333333333333,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.128205128205128,6.871794871794871,0,0.0,0,0.0,0,0,0.0,199,154,0,4978,154,199,0.0,-1.2303941341323068,-2.8453361977649396,-6.503625594891289,-1.2303941341323068,0.0,0.0,0.0,0.0,0.8210445884686168,0.0,0.11935412469794401,0.0,18,0,0.0,v11_full_10d,128,0.0009993552546744037,0.0
14,14,409,100014,0,0,0,0.65,12,3951c3bae678,20,20,20,-14.908643440351122,0.905,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,21.512820512820515,3.4871794871794872,0,0.0,0,0.0,0,0,0.0,260,147,0,4829,147,260,0.0,-1.2096983933411287,-3.8010750685079153,-8.688171585160951,-1.2096983933411287,0.0,0.0,0.0,0.0,1.0194738628882194,0.0,0.11887044186670749,0.0,18,0,0.0,v11_full_10d,128,0.005325078868094594,0.0
15,15,409,100015,0,0,0,0.65,12,3951c3bae678,20,20,20,-15.572098280648776,0.8986666666666667,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.743589743589745,4.256410256410256,0,0.0,48,0.04923076923076923,0,0,0.0,268,149,0,4799,149,268,0.0,-1.2346843669613186,-3.987787253351433,-9.114942293374703,-1.2346843669613186,0.0,0.0,0.0,0.0,0.870071983123947,0.0,0.31046881569057944,0.0,18,0,0.0,v11_full_10d,128,0.007632333978078658,0.0
16,16,409,100016,0,0,0,0.65,12,3951c3bae678,20,20,20,-12.154538189587923,0.8923333333333333,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.82051282051282,5.17948717948718,0,0.0,4,0.0041025641025641026,0,0,0.0,204,166,0,4972,166,204,0.0,-1.3303791515723529,-2.8894112697870655,-6.604368616656151,-1.3303791515723529,0.0,0.0,0.0,0.0,0.6258789059587035,0.0,0.13663165248155854,0.0,20,0,0.0,v11_full_10d,128,0.001836400545697493,0.0
17,17,409,100017,0,0,0,0.65,12,3951c3bae678,20,20,20,-13.581954252335112,0.886,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.846153846153847,4.153846153846154,0,0.0,30,0.03076923076923077,0,0,0.0,204,251,0,4968,251,204,0.0,-2.012743126609011,-2.908490260600854,-6.6479777385162375,-2.012743126609011,0.0,0.0,0.0,0.0,0.6491363754787314,0.0,0.24140657836189522,0.0,19,0,0.0,v11_full_10d,128,0.003339464882943144,0.0
18,18,409,100018,0,0,0,0.65,12,3951c3bae678,20,20,20,-11.588406815190124,0.8796666666666667,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.435897435897434,6.564102564102564,0,0.0,8,0.008205128205128205,0,0,0.0,184,195,0,5014,195,184,0.0,-1.5590453194270602,-2.5779223145370453,-5.892393861798961,-1.5590453194270602,0.0,0.0,0.0,0.0,0.9734026246190888,0.0,0.11025184854767112,0.0,18,0,0.0,v11_full_10d,128,0.00016118633139909736,0.0
19,19,409,100019,0,0,0,0.65,12,3951c3bae678,20,20,20,-13.56545630083326,0.8733333333333333,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.58974358974359,4.410256410256411,0,0.0,8,0.008205128205128205,0,0,0.0,228,171,0,4926,171,228,0.0,-1.380566319277006,-3.2882724189545534,-7.516051243324693,-1.380566319277006,0.0,0.0,0.0,0.0,0.9274266593632156,0.0,0.19770292990653915,0.0,15,0,0.0,v11_full_10d,128,0.0,0.0
20,20,409,100020,0,0,0,0.65,12,3951c3bae678,20,20,20,-13.186251419437784,0.867,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.94871794871795,4.051282051282051,0,0.0,10,0.010256410256410256,0,0,0.0,221,172,0,4940,172,221,0.0,-1.3910018360654446,-3.166510183962968,-7.237737563343927,-1.3910018360654446,0.0,0.0,0.0,0.0,0.778121381515736,0.0,0.14930860793542947,0.0,19,0,0.0,v11_full_10d,128,0.0036842359767891688,0.0
21,21,409,100021,0,0,0,0.65,12,3951c3bae678,20,20,20,-11.582873837200967,0.8606666666666667,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.46153846153846,5.538461538461538,0,0.0,6,0.006153846153846154,0,0,0.0,189,179,0,5014,179,189,0.0,-1.4240501956105074,-2.658409309646072,-6.076364136333879,-1.4240501956105074,0.0,0.0,0.0,0.0,0.8012630185736198,0.0,0.1352712973245458,0.0,16,0,0.0,v11_full_10d,128,0.0024743713733075432,0.0
