sweep_value,util_sum,weighted_sum,taskset_count,schedulable_ratio,weighted_schedulability
0.3,7.044017718441321,7.044017718441321,20,1.0,1.0
0.5,10.727710359827968,10.106770725629683,20,0.95,0.9421181581744119
0.7,14.757875642539055,9.417996494509419,20,0.65,0.6381674925734147
0.9,18.582788593167013,2.7292838152350525,20,0.15,0.14687159580767248
