figure,sweep_type,sweep_value,util_level,taskset_id,seed,num_tasks,cf,cp,actual_total_util_lo,actual_total_util_hi,deadline_mode,method,method_label,priority_policy,schedulable,details
fig1,util,0.2,0.2,79,702105,20,2.0,0.5,0.2007891604435227,0.22967976705586252,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,79,702105,20,2.0,0.5,0.2007891604435227,0.22967976705586252,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,79,702105,20,2.0,0.5,0.2007891604435227,0.22967976705586252,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,79,702105,20,2.0,0.5,0.2007891604435227,0.22967976705586252,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,79,702105,20,2.0,0.5,0.2007891604435227,0.22967976705586252,implicit,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_12 在 classic_single_budget 分析下超过截止期"
fig1,util,0.2,0.2,80,702106,20,2.0,0.5,0.1997104087561204,0.23404381137875643,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,80,702106,20,2.0,0.5,0.1997104087561204,0.23404381137875643,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,80,702106,20,2.0,0.5,0.1997104087561204,0.23404381137875643,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,80,702106,20,2.0,0.5,0.1997104087561204,0.23404381137875643,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,80,702106,20,2.0,0.5,0.1997104087561204,0.23404381137875643,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,80,702106,20,2.0,0.5,0.1997104087561204,0.23404381137875643,implicit,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_1 在 classic_single_budget 分析下超过截止期"
fig1,util,0.2,0.2,81,702107,20,2.0,0.5,0.1997883133076314,0.06580732850250907,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,81,702107,20,2.0,0.5,0.1997883133076314,0.06580732850250907,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,81,702107,20,2.0,0.5,0.1997883133076314,0.06580732850250907,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,81,702107,20,2.0,0.5,0.1997883133076314,0.06580732850250907,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,81,702107,20,2.0,0.5,0.1997883133076314,0.06580732850250907,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,81,702107,20,2.0,0.5,0.1997883133076314,0.06580732850250907,implicit,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_1 在 classic_single_budget 分析下超过截止期"
fig1,util,0.2,0.2,82,702108,20,2.0,0.5,0.20021754430047334,0.17463107802578687,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,82,702108,20,2.0,0.5,0.20021754430047334,0.17463107802578687,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,82,702108,20,2.0,0.5,0.20021754430047334,0.17463107802578687,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,82,702108,20,2.0,0.5,0.20021754430047334,0.17463107802578687,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,82,702108,20,2.0,0.5,0.20021754430047334,0.17463107802578687,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,82,702108,20,2.0,0.5,0.20021754430047334,0.17463107802578687,implicit,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_18 在 classic_single_budget 分析下超过截止期"
fig1,util,0.2,0.2,83,702109,20,2.0,0.5,0.2003429424748773,0.08488296438764535,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,83,702109,20,2.0,0.5,0.2003429424748773,0.08488296438764535,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,83,702109,20,2.0,0.5,0.2003429424748773,0.08488296438764535,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,83,702109,20,2.0,0.5,0.2003429424748773,0.08488296438764535,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,83,702109,20,2.0,0.5,0.2003429424748773,0.08488296438764535,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,83,702109,20,2.0,0.5,0.2003429424748773,0.08488296438764535,implicit,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_19 在 classic_single_budget 分析下超过截止期"
fig1,util,0.2,0.2,84,702110,20,2.0,0.5,0.20029509343824267,0.09245894171099155,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,84,702110,20,2.0,0.5,0.20029509343824267,0.09245894171099155,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,84,702110,20,2.0,0.5,0.20029509343824267,0.09245894171099155,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,84,702110,20,2.0,0.5,0.20029509343824267,0.09245894171099155,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,84,702110,20,2.0,0.5,0.20029509343824267,0.09245894171099155,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,84,702110,20,2.0,0.5,0.20029509343824267,0.09245894171099155,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig1,util,0.2,0.2,85,702111,20,2.0,0.5,0.2003916067499198,0.3166785721496285,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,85,702111,20,2.0,0.5,0.2003916067499198,0.3166785721496285,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,85,702111,20,2.0,0.5,0.2003916067499198,0.3166785721496285,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,85,702111,20,2.0,0.5,0.2003916067499198,0.3166785721496285,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,85,702111,20,2.0,0.5,0.2003916067499198,0.3166785721496285,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,85,702111,20,2.0,0.5,0.2003916067499198,0.3166785721496285,implicit,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_12 在 classic_single_budget 分析下超过截止期"
fig1,util,0.2,0.2,86,702112,20,2.0,0.5,0.20008067877094174,0.25469022556058163,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,86,702112,20,2.0,0.5,0.20008067877094174,0.25469022556058163,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,86,702112,20,2.0,0.5,0.20008067877094174,0.25469022556058163,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,86,702112,20,2.0,0.5,0.20008067877094174,0.25469022556058163,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,86,702112,20,2.0,0.5,0.20008067877094174,0.25469022556058163,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,86,702112,20,2.0,0.5,0.20008067877094174,0.25469022556058163,implicit,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_5 在 classic_single_budget 分析下超过截止期"
fig1,util,0.2,0.2,87,702113,20,2.0,0.5,0.20055957669045893,0.15608416614995563,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,87,702113,20,2.0,0.5,0.20055957669045893,0.15608416614995563,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,87,702113,20,2.0,0.5,0.20055957669045893,0.15608416614995563,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,87,702113,20,2.0,0.5,0.20055957669045893,0.15608416614995563,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,87,702113,20,2.0,0.5,0.20055957669045893,0.15608416614995563,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,87,702113,20,2.0,0.5,0.20055957669045893,0.15608416614995563,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig1,util,0.2,0.2,88,702114,20,2.0,0.5,0.20015807028521965,0.22697882348630072,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,88,702114,20,2.0,0.5,0.20015807028521965,0.22697882348630072,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,88,702114,20,2.0,0.5,0.20015807028521965,0.22697882348630072,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,88,702114,20,2.0,0.5,0.20015807028521965,0.22697882348630072,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,88,702114,20,2.0,0.5,0.20015807028521965,0.22697882348630072,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,88,702114,20,2.0,0.5,0.20015807028521965,0.22697882348630072,implicit,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_11 在 classic_single_budget 分析下超过截止期"
fig1,util,0.2,0.2,89,702115,20,2.0,0.5,0.2000371930328717,0.13045977328234892,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,89,702115,20,2.0,0.5,0.2000371930328717,0.13045977328234892,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,89,702115,20,2.0,0.5,0.2000371930328717,0.13045977328234892,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,89,702115,20,2.0,0.5,0.2000371930328717,0.13045977328234892,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,89,702115,20,2.0,0.5,0.2000371930328717,0.13045977328234892,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,89,702115,20,2.0,0.5,0.2000371930328717,0.13045977328234892,implicit,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_15 在 classic_single_budget 分析下超过截止期"
fig1,util,0.2,0.2,90,702116,20,2.0,0.5,0.19952631120716036,0.17026059223747422,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,90,702116,20,2.0,0.5,0.19952631120716036,0.17026059223747422,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,90,702116,20,2.0,0.5,0.19952631120716036,0.17026059223747422,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,90,702116,20,2.0,0.5,0.19952631120716036,0.17026059223747422,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,90,702116,20,2.0,0.5,0.19952631120716036,0.17026059223747422,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,90,702116,20,2.0,0.5,0.19952631120716036,0.17026059223747422,implicit,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_1 在 classic_single_budget 分析下超过截止期"
fig1,util,0.2,0.2,91,702117,20,2.0,0.5,0.20002874822407987,0.18093455594157642,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,91,702117,20,2.0,0.5,0.20002874822407987,0.18093455594157642,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,91,702117,20,2.0,0.5,0.20002874822407987,0.18093455594157642,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,91,702117,20,2.0,0.5,0.20002874822407987,0.18093455594157642,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,91,702117,20,2.0,0.5,0.20002874822407987,0.18093455594157642,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,91,702117,20,2.0,0.5,0.20002874822407987,0.18093455594157642,implicit,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_8 在 classic_single_budget 分析下超过截止期"
fig1,util,0.2,0.2,92,702118,20,2.0,0.5,0.20000277250563667,0.16981767118891597,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,92,702118,20,2.0,0.5,0.20000277250563667,0.16981767118891597,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,92,702118,20,2.0,0.5,0.20000277250563667,0.16981767118891597,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,92,702118,20,2.0,0.5,0.20000277250563667,0.16981767118891597,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,92,702118,20,2.0,0.5,0.20000277250563667,0.16981767118891597,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,92,702118,20,2.0,0.5,0.20000277250563667,0.16981767118891597,implicit,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_18 在 classic_single_budget 分析下超过截止期"
fig1,util,0.2,0.2,93,702119,20,2.0,0.5,0.19954770221370338,0.15925906754760932,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,93,702119,20,2.0,0.5,0.19954770221370338,0.15925906754760932,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,93,702119,20,2.0,0.5,0.19954770221370338,0.15925906754760932,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,93,702119,20,2.0,0.5,0.19954770221370338,0.15925906754760932,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,93,702119,20,2.0,0.5,0.19954770221370338,0.15925906754760932,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,93,702119,20,2.0,0.5,0.19954770221370338,0.15925906754760932,implicit,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_4 在 classic_single_budget 分析下超过截止期"
fig1,util,0.2,0.2,94,702120,20,2.0,0.5,0.19971577178375585,0.15969963253121147,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,94,702120,20,2.0,0.5,0.19971577178375585,0.15969963253121147,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,94,702120,20,2.0,0.5,0.19971577178375585,0.15969963253121147,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,94,702120,20,2.0,0.5,0.19971577178375585,0.15969963253121147,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,94,702120,20,2.0,0.5,0.19971577178375585,0.15969963253121147,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,94,702120,20,2.0,0.5,0.19971577178375585,0.15969963253121147,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig1,util,0.2,0.2,95,702121,20,2.0,0.5,0.1998158630363862,0.18108897022933,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,95,702121,20,2.0,0.5,0.1998158630363862,0.18108897022933,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,95,702121,20,2.0,0.5,0.1998158630363862,0.18108897022933,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,95,702121,20,2.0,0.5,0.1998158630363862,0.18108897022933,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,95,702121,20,2.0,0.5,0.1998158630363862,0.18108897022933,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,95,702121,20,2.0,0.5,0.1998158630363862,0.18108897022933,implicit,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_13 在 classic_single_budget 分析下超过截止期"
fig1,util,0.2,0.2,96,702122,20,2.0,0.5,0.20038518854504117,0.19041911473235937,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,96,702122,20,2.0,0.5,0.20038518854504117,0.19041911473235937,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,96,702122,20,2.0,0.5,0.20038518854504117,0.19041911473235937,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,96,702122,20,2.0,0.5,0.20038518854504117,0.19041911473235937,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,96,702122,20,2.0,0.5,0.20038518854504117,0.19041911473235937,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,96,702122,20,2.0,0.5,0.20038518854504117,0.19041911473235937,implicit,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_11 在 classic_single_budget 分析下超过截止期"
fig1,util,0.2,0.2,97,702123,20,2.0,0.5,0.19925498826892435,0.15825761516965386,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,97,702123,20,2.0,0.5,0.19925498826892435,0.15825761516965386,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,97,702123,20,2.0,0.5,0.19925498826892435,0.15825761516965386,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,97,702123,20,2.0,0.5,0.19925498826892435,0.15825761516965386,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,97,702123,20,2.0,0.5,0.19925498826892435,0.15825761516965386,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,97,702123,20,2.0,0.5,0.19925498826892435,0.15825761516965386,implicit,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_3 在 classic_single_budget 分析下超过截止期"
fig1,util,0.2,0.2,98,702124,20,2.0,0.5,0.20042512298056694,0.18829833024508125,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,98,702124,20,2.0,0.5,0.20042512298056694,0.18829833024508125,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,98,702124,20,2.0,0.5,0.20042512298056694,0.18829833024508125,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,98,702124,20,2.0,0.5,0.20042512298056694,0.18829833024508125,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,98,702124,20,2.0,0.5,0.20042512298056694,0.18829833024508125,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,98,702124,20,2.0,0.5,0.20042512298056694,0.18829833024508125,implicit,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_11 在 classic_single_budget 分析下超过截止期"
fig1,util,0.2,0.2,99,702125,20,2.0,0.5,0.20033437028321033,0.13013298087207745,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,99,702125,20,2.0,0.5,0.20033437028321033,0.13013298087207745,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,99,702125,20,2.0,0.5,0.20033437028321033,0.13013298087207745,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,99,702125,20,2.0,0.5,0.20033437028321033,0.13013298087207745,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,99,702125,20,2.0,0.5,0.20033437028321033,0.13013298087207745,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,99,702125,20,2.0,0.5,0.20033437028321033,0.13013298087207745,implicit,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_8 在 classic_single_budget 分析下超过截止期"
fig1,util,0.2,0.2,100,702126,20,2.0,0.5,0.2000356985875955,0.159426175662863,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,100,702126,20,2.0,0.5,0.2000356985875955,0.159426175662863,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,100,702126,20,2.0,0.5,0.2000356985875955,0.159426175662863,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,100,702126,20,2.0,0.5,0.2000356985875955,0.159426175662863,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.2,0.2,100,702126,20,2.0,0.5,0.2000356985875955,0.159426175662863,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.2,0.2,100,702126,20,2.0,0.5,0.2000356985875955,0.159426175662863,implicit,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_14 在 classic_single_budget 分析下超过截止期"
fig1,util,0.2,0.2,101,702127,20,2.0,0.5,0.20010358534981457,0.12827680441592035,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.2,0.2,101,702127,20,2.0,0.5,0.20010358534981457,0.12827680441592035,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.2,0.2,101,702127,20,2.0,0.5,0.20010358534981457,0.12827680441592035,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.2,0.2,101,702127,20,2.0,0.5,0.20010358534981457,0.12827680441592035,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
