figure,sweep_type,sweep_value,util_level,taskset_id,seed,num_tasks,cf,cp,actual_total_util_lo,actual_total_util_hi,deadline_mode,method,method_label,priority_policy,schedulable,details
fig1,util,0.025,0.025,4,2030,20,2.0,0.5,0.02731960053446536,0.022710737040713636,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.025,0.025,4,2030,20,2.0,0.5,0.02731960053446536,0.022710737040713636,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.025,0.025,4,2030,20,2.0,0.5,0.02731960053446536,0.022710737040713636,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.025,0.025,4,2030,20,2.0,0.5,0.02731960053446536,0.022710737040713636,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig1,util,0.025,0.025,5,2031,20,2.0,0.5,0.02499617048767554,0.020555996527146764,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.025,0.025,5,2031,20,2.0,0.5,0.02499617048767554,0.020555996527146764,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.025,0.025,5,2031,20,2.0,0.5,0.02499617048767554,0.020555996527146764,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.025,0.025,5,2031,20,2.0,0.5,0.02499617048767554,0.020555996527146764,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.025,0.025,5,2031,20,2.0,0.5,0.02499617048767554,0.020555996527146764,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.025,0.025,5,2031,20,2.0,0.5,0.02499617048767554,0.020555996527146764,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig1,util,0.025,0.025,6,2032,20,2.0,0.5,0.027261899712662647,0.03212836025086546,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.025,0.025,6,2032,20,2.0,0.5,0.027261899712662647,0.03212836025086546,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.025,0.025,6,2032,20,2.0,0.5,0.027261899712662647,0.03212836025086546,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.025,0.025,6,2032,20,2.0,0.5,0.027261899712662647,0.03212836025086546,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.025,0.025,6,2032,20,2.0,0.5,0.027261899712662647,0.03212836025086546,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.025,0.025,6,2032,20,2.0,0.5,0.027261899712662647,0.03212836025086546,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig1,util,0.025,0.025,7,2033,20,2.0,0.5,0.02594042936933152,0.02572903151163581,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.025,0.025,7,2033,20,2.0,0.5,0.02594042936933152,0.02572903151163581,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.025,0.025,7,2033,20,2.0,0.5,0.02594042936933152,0.02572903151163581,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.025,0.025,7,2033,20,2.0,0.5,0.02594042936933152,0.02572903151163581,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.025,0.025,7,2033,20,2.0,0.5,0.02594042936933152,0.02572903151163581,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.025,0.025,7,2033,20,2.0,0.5,0.02594042936933152,0.02572903151163581,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig1,util,0.025,0.025,8,2034,20,2.0,0.5,0.02653483264043613,0.02750337334874824,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.025,0.025,8,2034,20,2.0,0.5,0.02653483264043613,0.02750337334874824,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.025,0.025,8,2034,20,2.0,0.5,0.02653483264043613,0.02750337334874824,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.025,0.025,8,2034,20,2.0,0.5,0.02653483264043613,0.02750337334874824,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.025,0.025,8,2034,20,2.0,0.5,0.02653483264043613,0.02750337334874824,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.025,0.025,8,2034,20,2.0,0.5,0.02653483264043613,0.02750337334874824,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig1,util,0.025,0.025,9,2035,20,2.0,0.5,0.025887318379948746,0.019716383104043635,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
