method,method_label,sweep_value,util_sum,weighted_success_sum,taskset_count,success_count,schedulable_ratio,weighted_schedulability_at_util
amc_max,AMC-max,0.025,5.1342218022669135,5.1342218022669135,200,200,1.0,1.0
amc_max,AMC-max,0.05,10.067532179757999,10.067532179757999,200,200,1.0,1.0
amc_max,AMC-max,0.075,15.041140441196873,14.81583815237099,200,197,0.985,0.9850209304469498
amc_max,AMC-max,0.1,20.041817200608588,19.941045615059746,200,199,0.995,0.9949719337054036
amc_max,AMC-max,0.125,25.02875099513196,24.52845173104756,200,196,0.98,0.9800110175620946
amc_max,AMC-max,0.15,30.030285150021893,29.431688383444403,200,196,0.98,0.9800668970145608
amc_max,AMC-max,0.175,35.02521627632682,33.450285483784654,200,191,0.955,0.9550343735177262
amc_max,AMC-max,0.2,40.013342216940096,37.813019740953486,200,189,0.945,0.9450102802196044
amc_max,AMC-max,0.225,45.009264928908,42.982734221646794,200,191,0.955,0.9549752543068164
amc_max,AMC-max,0.25,50.01870599681291,46.766219300812594,200,187,0.935,0.9349745933809731
amc_max,AMC-max,0.275,55.012876062364654,50.059344305378495,200,182,0.91,0.9099568662548991
amc_max,AMC-max,0.3,60.020633438863854,51.91661019403321,200,173,0.865,0.8649793782485604
amc_max,AMC-max,0.325,65.00469297692213,58.17698496079184,200,179,0.895,0.8949659216365463
amc_max,AMC-max,0.35,70.01102381879656,58.46477105876815,200,167,0.835,0.8350795041947598
amc_max,AMC-max,0.375,75.00986485879179,59.633460926956744,200,159,0.795,0.795008243771915
amc_max,AMC-max,0.4,80.0065428789496,64.80199397749121,200,162,0.81,0.8099586814485539
amc_max,AMC-max,0.425,85.0037395463512,62.905360704435225,200,148,0.74,0.740030509718151
amc_max,AMC-max,0.45,90.01082517467304,64.36181026003709,200,143,0.715,0.7150452196737221
amc_max,AMC-max,0.475,95.00171405738968,69.82394588784484,200,147,0.735,0.7349756431306579
amc_max,AMC-max,0.5,100.00949234821769,56.00547772752306,200,112,0.56,0.5600016199714382
amc_max,AMC-max,0.525,105.0112461816406,56.703066554419486,200,108,0.54,0.5399713708409741
amc_max,AMC-max,0.55,110.01545760965666,61.605768885314426,200,112,0.56,0.5599737548144957
amc_max,AMC-max,0.575,115.0003409254224,52.90240904932713,200,92,0.46,0.46001958449526936
amc_max,AMC-max,0.6,120.01074038607537,43.2041886460465,200,72,0.36,0.36000268398526936
amc_max,AMC-max,0.625,125.0019440501084,47.50166660385822,200,76,0.38,0.3800074228030938
amc_max,AMC-max,0.65,130.0020964001106,38.99835609256848,200,60,0.3,0.2999825169937437
amc_max,AMC-max,0.675,135.00318330711957,33.076155888463845,200,49,0.245,0.24500278495817907
amc_max,AMC-max,0.7,140.0196894186523,29.40586007447646,200,42,0.21,0.21001232181392948
amc_max,AMC-max,0.725,145.00110362074625,21.02547264137711,200,29,0.145,0.14500215595854857
amc_max,AMC-max,0.75,150.0106210394657,15.003385803764443,200,20,0.1,0.10001549023530316
amc_max,AMC-max,0.775,154.99237999575544,17.04674066438171,200,22,0.11,0.10998437900526815
amc_max,AMC-max,0.8,160.00498955484588,14.402110049245808,200,18,0.09,0.09001038085946132
amc_max,AMC-max,0.825,165.00779457893472,7.425102127400039,200,9,0.045,0.04499849323086429
amc_max,AMC-max,0.85,170.01166188011743,10.201874214912843,200,12,0.06,0.06000690836200769
amc_max,AMC-max,0.875,175.00863996854838,1.7510289483808257,200,2,0.01,0.01000538572664476
amc_max,AMC-max,0.9,180.01271435002857,1.8001196026577886,200,2,0.01,0.009999958109389527
amc_max,AMC-max,0.925,185.00131893448267,0.9244232858211406,200,1,0.005,0.004996847001661219
amc_max,AMC-max,0.95,190.0076072720281,0.0,200,0,0.0,0.0
amc_max,AMC-max,0.975,195.00590298058935,0.0,200,0,0.0,0.0
amc_rtb,AMC-rtb,0.025,5.1342218022669135,5.1342218022669135,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.05,10.067532179757999,10.067532179757999,200,200,1.0,1.0
amc_rtb,AMC-rtb,0.075,15.041140441196873,14.81583815237099,200,197,0.985,0.9850209304469498
amc_rtb,AMC-rtb,0.1,20.041817200608588,19.941045615059746,200,199,0.995,0.9949719337054036
amc_rtb,AMC-rtb,0.125,25.02875099513196,24.52845173104756,200,196,0.98,0.9800110175620946
amc_rtb,AMC-rtb,0.15,30.030285150021893,29.431688383444403,200,196,0.98,0.9800668970145608
