episode,episode_seed,taskset_seed,scenario_seed,network_seed,exploration_seed,replay_seed,total_util,num_tasks,taskset_fingerprint,steps,step_count,selected_action_count,total_reward,epsilon,loss_mean,loss_last,accepted_actions,rejected_actions,noop_actions,explicit_noop_actions,noop_action_rate,explicit_noop_action_rate,accepted_action_rate,rejected_action_rate,safety_checked_actions,selected_invalid_mask_actions,action_space_type,action_count,budget_increase_ratio,budget_decrease_ratio,budget_floor_ratio,valid_action_count_mean,masked_action_count_mean,masked_decrease_hi_forbidden_count,masked_decrease_hi_forbidden_rate,masked_budget_floor_violation_count,masked_budget_floor_violation_rate,no_safe_action_steps,selected_explicit_noop_actions,selected_explicit_noop_rate,mode_changes,lo_cancellations,deadline_misses,job_starts,lo_overruns,hi_overruns,reward_job_start_sum,reward_lo_overrun_sum,reward_hi_overrun_sum,reward_mode_change_sum,reward_lo_cancellation_sum,reward_deadline_miss_sum,reward_paper_sum,reward_noop_bonus_sum,reward_budget_change_penalty_sum,reward_budget_change_norm_sum,reward_budget_drift_penalty_sum,reward_budget_drift_mean_sum,noop_exploration_prob,exploration_action_count,exploration_noop_action_count,exploration_noop_action_rate,observation_mode,state_dim,feature_safety_margin_min_mean,feature_safety_margin_min_p05
10,10,409,100010,0,0,0,0.65,12,3951c3bae678,20,20,20,-14.36211714239429,0.9582,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.358974358974358,5.641025641025641,0,0.0,4,0.0041025641025641026,0,0,0.0,249,151,0,4876,151,249,0.0,-1.2368179664221406,-3.618233411602177,-8.270247797947832,-1.2368179664221406,0.0,0.0,0.0,0.0,0.6782764348156053,0.0,0.1596577938591427,0.0,19,0,0.0,v11_no_util_9d,116,8.051529790660226e-05,0.0
11,11,409,100011,0,0,0,0.65,12,3951c3bae678,20,20,20,-12.430096903683497,0.9544,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.025641025641026,6.9743589743589745,0,0.0,34,0.03487179487179487,0,0,0.0,195,211,0,4987,211,195,0.0,-1.6857926771968768,-2.7569382976099215,-6.3015732516798195,-1.6857926771968768,0.0,0.0,0.0,0.0,0.5578163791811871,0.0,0.2889753085799198,0.0,20,0,0.0,v11_no_util_9d,116,0.0015043913229412934,0.0
12,12,409,100012,0,0,0,0.65,12,3951c3bae678,20,20,20,-13.233951272971728,0.9506,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.17948717948718,4.82051282051282,0,0.0,10,0.010256410256410256,0,0,0.0,228,152,0,4916,152,228,0.0,-1.232120453860469,-3.277737937250241,-7.491972428000548,-1.232120453860469,0.0,0.0,0.0,0.0,0.5747254561985569,0.0,0.15072305823547932,0.0,19,0,0.0,v11_no_util_9d,116,0.0033062368388455344,0.0
13,13,409,100013,0,0,0,0.65,12,3951c3bae678,20,20,20,-10.22577892879224,0.9468,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,17.0,8.0,0,0.0,24,0.024615384615384615,0,0,0.0,166,162,0,5046,162,166,0.0,-1.279831838860283,-2.3331655111957255,-5.332949739875946,-1.279831838860283,0.0,0.0,0.0,0.0,0.8006606848940937,0.0,0.15230829594814724,0.0,19,0,0.0,v11_no_util_9d,116,0.0,0.0
14,14,409,100014,0,0,0,0.65,12,3951c3bae678,20,20,20,-15.798811977486245,0.9430000000000001,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.435897435897434,4.564102564102564,0,0.0,0,0.0,0,0,0.0,277,147,0,4806,147,277,0.0,-1.2208637215311797,-4.065199640911619,-9.291884893512272,-1.2208637215311797,0.0,0.0,0.0,0.0,0.5408601301567526,0.0,0.10661224012370532,0.0,19,0,0.0,v11_no_util_9d,116,0.0,0.0
15,15,409,100015,0,0,0,0.65,12,3951c3bae678,20,20,20,-13.71825852837311,0.9392,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.94871794871795,4.051282051282051,0,0.0,6,0.006153846153846154,0,0,0.0,228,177,0,4903,177,228,0.0,-1.4397873771689775,-3.2987298442715685,-7.539953929763586,-1.4397873771689775,0.0,0.0,0.0,0.0,0.5634007238775973,0.0,0.20747923268206994,0.0,20,0,0.0,v11_no_util_9d,116,0.0,0.0
16,16,409,100016,0,0,0,0.65,12,3951c3bae678,20,20,20,-15.89010018146959,0.9354,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.076923076923077,4.923076923076923,0,0.0,12,0.012307692307692308,0,0,0.0,279,150,0,4817,150,279,0.0,-1.2407949443108113,-4.08085095869286,-9.327659334155108,-1.2407949443108113,0.0,0.0,0.0,0.0,0.7068166134257302,0.0,0.1725297399525242,0.0,20,0,0.0,v11_no_util_9d,116,0.0007648953301127214,0.0
17,17,409,100017,0,0,0,0.65,12,3951c3bae678,20,20,20,-15.202898117941718,0.9316,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.128205128205128,4.871794871794871,0,0.0,10,0.010256410256410256,0,0,0.0,250,208,0,4910,208,250,0.0,-1.6903160096130256,-3.5980809865656376,-8.224185112150026,-1.6903160096130256,0.0,0.0,0.0,0.0,0.46518556208960216,0.0,0.20797922239987943,0.0,19,0,0.0,v11_no_util_9d,116,0.0,0.0
18,18,409,100018,0,0,0,0.65,12,3951c3bae678,20,20,20,-13.777765525841316,0.9278,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.846153846153847,6.153846153846154,0,0.0,0,0.0,0,0,0.0,242,140,0,4887,140,242,0.0,-1.1434588932812169,-3.497214529345746,-7.993633209933135,-1.1434588932812169,0.0,0.0,0.0,0.0,0.6068245908201846,0.0,0.08430782140807162,0.0,19,0,0.0,v11_no_util_9d,116,0.0,0.0
19,19,409,100019,0,0,0,0.65,12,3951c3bae678,20,20,20,-11.335144993790632,0.924,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.512820512820515,5.487179487179487,0,0.0,36,0.036923076923076927,0,0,0.0,185,174,0,5010,174,185,0.0,-1.384751892358309,-2.606934281022526,-5.958706928051487,-1.384751892358309,0.0,0.0,0.0,0.0,0.5814242013877103,0.0,0.3061157367453526,0.0,19,0,0.0,v11_no_util_9d,116,0.0014025568842584793,0.0
