method,method_label,sweep_value,util_sum,weighted_success_sum,taskset_count,success_count,util_level_count,schedulable_ratio,weighted_schedulability
amc_max,AMC-max,1.0,3900.657428308773,3455.8797393611253,7800,7333,39,0.9401282051282052,0.8859736603066699
amc_max,AMC-max,1.5,3900.5964099178354,3215.75774321762,7800,7060,39,0.9051282051282051,0.8244271914523345
amc_max,AMC-max,2.0,3900.614245631056,2721.536582265439,7800,6439,39,0.8255128205128205,0.6977200027697532
amc_max,AMC-max,2.5,3900.616395335326,2197.618901229909,7800,5713,39,0.7324358974358974,0.5634029800669454
amc_max,AMC-max,3.0,3900.5319053659896,1779.0024461625228,7800,5069,39,0.6498717948717949,0.4560922687788136
amc_max,AMC-max,3.5,3900.6757465066307,1414.8948964884794,7800,4470,39,0.573076923076923,0.36273071345538827
amc_max,AMC-max,4.0,3900.64466405447,1146.9759379966727,7800,3988,39,0.5112820512820513,0.2940477887069223
amc_max,AMC-max,4.5,3900.6886251168717,958.9617606040805,7800,3595,39,0.46089743589743587,0.24584422207638998
amc_max,AMC-max,5.0,3900.609152748083,794.2721874679592,7800,3245,39,0.41602564102564105,0.20362773001964918
amc_rtb,AMC-rtb,1.0,3900.657428308773,3455.8797393611253,7800,7333,39,0.9401282051282052,0.8859736603066699
amc_rtb,AMC-rtb,1.5,3900.5964099178354,3137.6821429277547,7800,6970,39,0.8935897435897436,0.8044108677713336
amc_rtb,AMC-rtb,2.0,3900.614245631056,2647.0093010670857,7800,6344,39,0.8133333333333334,0.6786134527483485
amc_rtb,AMC-rtb,2.5,3900.616395335326,2129.2437215134523,7800,5622,39,0.7207692307692307,0.5458736532153674
amc_rtb,AMC-rtb,3.0,3900.5319053659896,1742.9750379137827,7800,5016,39,0.6430769230769231,0.4468557315262463
amc_rtb,AMC-rtb,3.5,3900.6757465066307,1388.0666160810863,7800,4429,39,0.5678205128205128,0.35585285891148777
amc_rtb,AMC-rtb,4.0,3900.64466405447,1131.8274356222573,7800,3963,39,0.5080769230769231,0.29016419928027876
amc_rtb,AMC-rtb,4.5,3900.6886251168717,947.283958299559,7800,3576,39,0.4584615384615385,0.24285044240648065
amc_rtb,AMC-rtb,5.0,3900.609152748083,786.0193080477386,7800,3229,39,0.41397435897435897,0.2015119375633847
crmpo_baseline,CrMPO,1.0,3900.657428308773,324.13298142316444,7800,1653,39,0.21192307692307694,0.08309701310112239
crmpo_baseline,CrMPO,1.5,3900.5964099178354,155.13986842841197,7800,1078,39,0.1382051282051282,0.03977337107575299
crmpo_baseline,CrMPO,2.0,3900.614245631056,93.83104103825805,7800,815,39,0.10448717948717949,0.024055452585026827
crmpo_baseline,CrMPO,2.5,3900.616395335326,58.081209366683446,7800,605,39,0.07756410256410257,0.014890264378763745
crmpo_baseline,CrMPO,3.0,3900.5319053659896,41.70726258084221,7800,506,39,0.06487179487179487,0.010692711556458552
crmpo_baseline,CrMPO,3.5,3900.6757465066307,30.86067446398681,7800,398,39,0.05102564102564103,0.007911622618625767
crmpo_baseline,CrMPO,4.0,3900.64466405447,25.732374686186883,7800,364,39,0.04666666666666667,0.006596954324837098
crmpo_baseline,CrMPO,4.5,3900.6886251168717,20.170879679431806,7800,309,39,0.039615384615384615,0.00517110736538922
crmpo_baseline,CrMPO,5.0,3900.609152748083,14.562295168554106,7800,252,39,0.03230769230769231,0.0037333387166705954
smc,SMC,1.0,3900.657428308773,3455.8797393611253,7800,7333,39,0.9401282051282052,0.8859736603066699
smc,SMC,1.5,3900.5964099178354,2852.5800307194595,7800,6628,39,0.8497435897435898,0.7313189397053124
smc,SMC,2.0,3900.614245631056,2277.4399096336724,7800,5859,39,0.7511538461538462,0.583866992790829
smc,SMC,2.5,3900.616395335326,1783.687410934787,7800,5134,39,0.6582051282051282,0.457283472701357
smc,SMC,3.0,3900.5319053659896,1438.5999571023217,7800,4556,39,0.5841025641025641,0.36882148178899127
smc,SMC,3.5,3900.6757465066307,1166.9797876916302,7800,4061,39,0.5206410256410257,0.2991737492501792
smc,SMC,4.0,3900.64466405447,969.61520154684,7800,3676,39,0.4712820512820513,0.2485781928515855
smc,SMC,4.5,3900.6886251168717,824.9649607364396,7800,3346,39,0.428974358974359,0.21149213383104173
smc,SMC,5.0,3900.609152748083,683.0334723147007,7800,3027,39,0.3880769230769231,0.17510943690256314
smc_no,SMC-NO,1.0,3900.657428308773,3455.8797393611253,7800,7333,39,0.9401282051282052,0.8859736603066699
smc_no,SMC-NO,1.5,3900.5964099178354,2550.757970869563,7800,6245,39,0.8006410256410257,0.6539405010946245
smc_no,SMC-NO,2.0,3900.614245631056,1791.132258945282,7800,5160,39,0.6615384615384615,0.45919235949862713
smc_no,SMC-NO,2.5,3900.616395335326,1361.9582784297859,7800,4441,39,0.5693589743589743,0.3491648858520223
smc_no,SMC-NO,3.0,3900.5319053659896,1063.455032876124,7800,3880,39,0.49743589743589745,0.2726435928938618
smc_no,SMC-NO,3.5,3900.6757465066307,850.4678620207212,7800,3431,39,0.4398717948717949,0.21803090471756942
smc_no,SMC-NO,4.0,3900.64466405447,713.6078466426832,7800,3128,39,0.40102564102564103,0.1829461302175968
smc_no,SMC-NO,4.5,3900.6886251168717,600.670113917071,7800,2836,39,0.3635897435897436,0.15399078769048732
smc_no,SMC-NO,5.0,3900.609152748083,499.3814005117611,7800,2571,39,0.3296153846153846,0.12802651610452526
ub_hl,UB-H&L,1.0,3900.657428308773,3455.8797393611253,7800,7333,39,0.9401282051282052,0.8859736603066699
ub_hl,UB-H&L,1.5,3900.5964099178354,3363.8121047545064,7800,7228,39,0.9266666666666666,0.8623840436815056
ub_hl,UB-H&L,2.0,3900.614245631056,2893.416708697422,7800,6644,39,0.8517948717948718,0.7417848898896472
ub_hl,UB-H&L,2.5,3900.616395335326,2335.628880619297,7800,5882,39,0.7541025641025642,0.5987845622072531
ub_hl,UB-H&L,3.0,3900.5319053659896,1876.007242033706,7800,5198,39,0.6664102564102564,0.48096190149165796
ub_hl,UB-H&L,3.5,3900.6757465066307,1477.1932190941743,7800,4558,39,0.5843589743589743,0.3787018750320684
ub_hl,UB-H&L,4.0,3900.64466405447,1198.3835584034978,7800,4063,39,0.5208974358974359,0.3072270513248584
ub_hl,UB-H&L,4.5,3900.6886251168717,984.2858332568643,7800,3632,39,0.46564102564102566,0.25233642770637027
ub_hl,UB-H&L,5.0,3900.609152748083,809.1712650416783,7800,3271,39,0.41935897435897435,0.20744740971332531
