method,method_label,sweep_value,util_sum,weighted_success_sum,taskset_count,success_count,util_level_count,schedulable_ratio,weighted_schedulability
amc_max,AMC-max,8.0,3900.0644699974528,2626.7094764898748,7800,6268,39,0.8035897435897436,0.6735041168413276
amc_max,AMC-max,24.0,3900.8800159431867,2766.8156431867374,7800,6505,39,0.833974358974359,0.7092798629741381
amc_max,AMC-max,40.0,3902.3610612799803,2805.3500048176147,7800,6563,39,0.8414102564102565,0.7188853006588416
amc_max,AMC-max,56.0,3904.7370529272175,2844.4852892066233,7800,6614,39,0.847948717948718,0.7284703811423696
amc_max,AMC-max,72.0,3907.398862898085,2854.816759030989,7800,6627,39,0.8496153846153847,0.7306182089927711
amc_max,AMC-max,88.0,3910.6595614611306,2867.5671642252464,7800,6643,39,0.8516666666666667,0.733269444490802
amc_rtb,AMC-rtb,8.0,3900.0644699974528,2571.306979443813,7800,6199,39,0.7947435897435897,0.6592985831963676
amc_rtb,AMC-rtb,24.0,3900.8800159431867,2666.357956984007,7800,6379,39,0.8178205128205128,0.6835272928381299
amc_rtb,AMC-rtb,40.0,3902.3610612799803,2687.555563586004,7800,6416,39,0.8225641025641026,0.6886998720473297
amc_rtb,AMC-rtb,56.0,3904.7370529272175,2729.9749675236576,7800,6471,39,0.8296153846153846,0.6991443804076666
amc_rtb,AMC-rtb,72.0,3907.398862898085,2733.854762015728,7800,6480,39,0.8307692307692308,0.6996610425350973
amc_rtb,AMC-rtb,88.0,3910.6595614611306,2739.091388189982,7800,6486,39,0.8315384615384616,0.7004167315363502
crmpo_baseline,CrMPO,8.0,3900.0644699974528,540.5763267078181,7800,2106,39,0.27,0.13860702325984145
crmpo_baseline,CrMPO,24.0,3900.8800159431867,68.7188175406787,7800,698,39,0.08948717948717949,0.017616234608554937
crmpo_baseline,CrMPO,40.0,3902.3610612799803,29.726041718506774,7800,488,39,0.06256410256410257,0.0076174503721489545
crmpo_baseline,CrMPO,56.0,3904.7370529272175,20.3304237335544,7800,409,39,0.05243589743589744,0.0052066050691719525
crmpo_baseline,CrMPO,72.0,3907.398862898085,16.822893213313495,7800,364,39,0.04666666666666667,0.004305394407786692
crmpo_baseline,CrMPO,88.0,3910.6595614611306,15.418586606257081,7800,340,39,0.04358974358974359,0.003942707454825414
smc,SMC,8.0,3900.0644699974528,2320.8312454145807,7800,5866,39,0.752051282051282,0.5950750976729614
smc,SMC,24.0,3900.8800159431867,2260.7990974905947,7800,5848,39,0.7497435897435898,0.5795613011039921
smc,SMC,40.0,3902.3610612799803,2210.127262827581,7800,5799,39,0.7434615384615385,0.5663564257948638
smc,SMC,56.0,3904.7370529272175,2193.958819849204,7800,5780,39,0.7410256410256411,0.5618710786695572
smc,SMC,72.0,3907.398862898085,2183.0077363648807,7800,5768,39,0.7394871794871795,0.5586856660816455
smc,SMC,88.0,3910.6595614611306,2168.706659476073,7800,5751,39,0.7373076923076923,0.5545628877666314
smc_no,SMC-NO,8.0,3900.0644699974528,1994.3368587596838,7800,5386,39,0.6905128205128205,0.5113599721496364
smc_no,SMC-NO,24.0,3900.8800159431867,1805.724295006258,7800,5186,39,0.6648717948717948,0.4629017779644923
smc_no,SMC-NO,40.0,3902.3610612799803,1720.8072583929238,7800,5092,39,0.6528205128205128,0.44096566959606154
smc_no,SMC-NO,56.0,3904.7370529272175,1691.0930978553038,7800,5053,39,0.6478205128205128,0.4330875741268064
smc_no,SMC-NO,72.0,3907.398862898085,1658.259317878108,7800,5009,39,0.6421794871794871,0.4243895686267849
smc_no,SMC-NO,88.0,3910.6595614611306,1661.873797966203,7800,5016,39,0.6430769230769231,0.4249599771720556
ub_hl,UB-H&L,8.0,3900.0644699974528,2827.0104040213214,7800,6509,39,0.8344871794871795,0.7248624800356616
ub_hl,UB-H&L,24.0,3900.8800159431867,2938.071823262178,7800,6707,39,0.8598717948717949,0.7531817977620588
ub_hl,UB-H&L,40.0,3902.3610612799803,2980.642991338325,7800,6769,39,0.8678205128205129,0.7638050258631551
ub_hl,UB-H&L,56.0,3904.7370529272175,3003.7314565208594,7800,6802,39,0.872051282051282,0.7692531957482484
ub_hl,UB-H&L,72.0,3907.398862898085,3002.475345989587,7800,6801,39,0.8719230769230769,0.768407693030518
ub_hl,UB-H&L,88.0,3910.6595614611306,3029.713248073316,7800,6833,39,0.8760256410256411,0.7747320370023034
